                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6229,                 3.4784,                 1.8418,                0.00532,                      1,                0.30397,                0.16429,                 1.2648,                 3.5347,                 1.5669,             0.00032219,             0.00032219,             0.00032219
                      2,                 1.4316,                 2.6568,                 1.5676,                0.37918,                0.25238,                0.40143,                0.20518,                 1.5158,                 3.0073,                 1.7422,               0.000649,               0.000649,               0.000649
                      3,                 1.4179,                 2.3298,                 1.5636,                0.49339,                0.50497,                0.52752,                0.27327,                 1.6354,                 2.3656,                 1.9361,             0.00096921,             0.00096921,             0.00096921
                      4,                 1.3771,                 2.1406,                 1.4846,                0.67687,                0.60911,                0.65349,                0.36063,                 1.4768,                 2.0538,                 1.7654,               0.001078,               0.001078,               0.001078
                      5,                 1.3449,                 2.0276,                 1.4701,                0.50925,                0.69218,                0.65482,                0.36564,                 1.4671,                 2.2993,                 1.8268,               0.001067,               0.001067,               0.001067
                      6,                 1.3456,                 1.9048,                 1.4947,                0.49061,                0.39134,                0.37835,                0.16112,                 1.9125,                 3.1088,                 2.1309,               0.001056,               0.001056,               0.001056
                      7,                 1.3052,                  1.779,                 1.4463,                0.64056,                0.72576,                0.77205,                0.44106,                 1.4322,                 1.7248,                 1.6948,               0.001045,               0.001045,               0.001045
                      8,                 1.3141,                  1.696,                 1.4783,                0.84476,                 0.7541,                0.79913,                0.43753,                 1.4944,                  1.681,                 1.8629,               0.001034,               0.001034,               0.001034
                      9,                 1.2972,                 1.5843,                 1.4397,                0.73282,                0.80527,                0.84966,                0.47976,                 1.4854,                 1.5505,                  1.777,               0.001023,               0.001023,               0.001023
                     10,                 1.2663,                 1.5836,                 1.4153,                0.84276,                0.77253,                0.88948,                0.50636,                 1.4608,                 1.4264,                 1.7679,               0.001012,               0.001012,               0.001012
                     11,                 1.2604,                 1.4375,                 1.4107,                0.76923,                0.80227,                0.83403,                0.47462,                 1.5235,                 1.4151,                 1.8504,               0.001001,               0.001001,               0.001001
                     12,                 1.2672,                 1.4123,                 1.4155,                0.87086,                0.91055,                0.93646,                0.52614,                  1.456,                 1.1332,                 1.7704,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2267,                 1.3136,                 1.3827,                0.88033,                 0.8286,                 0.9254,                0.52232,                 1.5016,                 1.1913,                 1.7367,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.2504,                 1.2827,                 1.3894,                0.89606,                 0.8202,                0.91165,                0.50901,                 1.4216,                 1.1786,                 1.6534,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.2191,                 1.2451,                 1.3612,                0.89238,                0.87001,                0.93858,                0.51842,                 1.4503,                 1.0342,                 1.6769,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.2185,                  1.261,                 1.3807,                0.81201,                0.92206,                0.94326,                0.53168,                 1.4604,                0.96496,                  1.735,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.1702,                 1.1687,                 1.3439,                0.96295,                0.85186,                0.96177,                0.53354,                 1.5084,                0.94607,                  1.794,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.1996,                 1.1778,                 1.3562,                0.91687,                0.89541,                0.93672,                0.53732,                 1.4684,                0.88597,                 1.7603,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.1705,                 1.1482,                 1.3373,                0.89743,                0.91202,                0.94366,                0.53962,                 1.4557,                0.88845,                 1.7163,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.1753,                 1.1509,                 1.3517,                0.88088,                0.87406,                0.89451,                 0.5173,                 1.4471,                 1.0054,                 1.7201,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.1409,                 1.0716,                  1.324,                0.84744,                0.88385,                0.92761,                0.55068,                 1.4013,                0.93164,                 1.6484,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1479,                 1.0745,                 1.3259,                0.92225,                0.90632,                0.96068,                0.57837,                 1.3867,                0.79662,                 1.6468,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.1123,                 1.0023,                 1.2971,                0.90054,                0.88477,                0.94836,                0.55107,                 1.4793,                0.85204,                 1.7941,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.1626,                 1.0636,                 1.3407,                0.95294,                0.91614,                0.95107,                0.53988,                 1.4711,                 0.7568,                 1.7489,             0.00085803,             0.00085803,             0.00085803
                     25,                  1.119,                0.97173,                 1.2965,                0.94213,                0.93829,                0.96428,                 0.5511,                 1.4798,                0.77529,                 1.7739,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.1103,                0.96541,                  1.291,                0.94971,                0.91981,                0.96145,                 0.5695,                 1.4139,                0.70296,                 1.7438,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.1095,                0.96041,                 1.3011,                0.96186,                  0.949,                0.98123,                0.54604,                 1.4367,                0.74127,                  1.706,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.1164,                0.99207,                 1.3047,                 0.9364,                0.90816,                0.96009,                0.57398,                  1.412,                0.75495,                 1.6142,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.1064,                0.96334,                 1.2923,                0.94597,                0.91191,                0.97023,                0.55055,                 1.4521,                0.73041,                 1.6891,             0.00080303,             0.00080303,             0.00080303
                     30,                  1.075,                0.95093,                 1.2808,                0.94911,                0.88259,                0.94618,                0.55285,                 1.4196,                0.74179,                 1.6851,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.0654,                0.89987,                 1.2771,                 0.9458,                0.89877,                0.94867,                0.55809,                 1.4356,                0.76164,                 1.6781,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.0597,                 0.9185,                 1.2665,                0.95573,                0.95167,                0.95195,                0.55847,                 1.4255,                 0.6735,                 1.6793,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.0812,                0.91232,                 1.2804,                0.96724,                0.95139,                0.94584,                0.56119,                 1.4338,                 0.6421,                 1.6657,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.0505,                0.87682,                  1.252,                0.92782,                0.92403,                0.97571,                0.56173,                 1.4266,                 0.6887,                 1.6906,             0.00074804,             0.00074804,             0.00074804
                     35,                  1.078,                0.88784,                 1.2686,                0.95437,                0.94778,                0.96271,                 0.5723,                 1.4395,                 0.6293,                 1.6714,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.0743,                0.88919,                 1.2882,                0.96106,                0.93752,                0.94888,                0.54447,                  1.454,                0.67815,                 1.7465,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.0456,                0.82835,                 1.2529,                0.97845,                0.93913,                0.97552,                0.56626,                 1.4267,                0.66707,                 1.6788,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0597,                0.85928,                 1.2563,                0.90698,                0.90277,                0.92337,                0.53067,                 1.4732,                0.79632,                  1.801,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.0672,                0.85857,                 1.2613,                0.95574,                0.94048,                0.96383,                0.54137,                 1.4227,                0.70753,                 1.6992,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0235,                0.84516,                 1.2263,                0.92052,                0.94354,                0.95991,                 0.5461,                 1.4852,                 0.6629,                   1.74,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.0211,                0.81449,                 1.2398,                0.90168,                0.93201,                0.94861,                0.52899,                 1.5257,                0.72072,                  1.784,             0.00067104,             0.00067104,             0.00067104
                     42,                0.99586,                0.83065,                 1.2255,                0.87803,                0.95555,                0.97476,                0.55653,                 1.4357,                0.61783,                 1.7003,             0.00066005,             0.00066005,             0.00066005
                     43,                0.99991,                0.79687,                 1.2245,                 0.9059,                0.91345,                0.95312,                0.54288,                 1.4853,                0.72319,                 1.7931,             0.00064905,             0.00064905,             0.00064905
                     44,                 0.9844,                0.77723,                  1.226,                0.96332,                0.93789,                0.96192,                0.55337,                 1.4608,                0.62286,                 1.7369,             0.00063805,             0.00063805,             0.00063805
                     45,                0.97127,                0.74059,                 1.2185,                0.95535,                0.92342,                0.96112,                0.55132,                  1.444,                0.61316,                 1.7161,             0.00062705,             0.00062705,             0.00062705
                     46,                0.97112,                0.78237,                 1.2172,                0.93087,                0.88284,                0.91971,                0.53231,                  1.463,                0.74592,                 1.7648,             0.00061605,             0.00061605,             0.00061605
                     47,                0.98926,                0.76211,                 1.2228,                0.91857,                0.91897,                0.96013,                0.56225,                 1.4353,                0.59853,                 1.6947,             0.00060505,             0.00060505,             0.00060505
                     48,                0.96329,                 0.7648,                  1.221,                0.95643,                 0.9428,                0.96618,                0.55141,                 1.4811,                0.62844,                 1.7328,             0.00059405,             0.00059405,             0.00059405
                     49,                0.96587,                0.73742,                 1.2279,                0.96042,                0.96095,                0.97537,                0.56239,                 1.4329,                0.56974,                 1.7077,             0.00058305,             0.00058305,             0.00058305
                     50,                0.96364,                0.70582,                 1.1949,                0.98611,                0.96149,                0.97779,                0.57907,                 1.3877,                0.53986,                 1.6725,             0.00057205,             0.00057205,             0.00057205
                     51,                0.93399,                0.72703,                 1.1954,                0.96097,                0.96804,                0.97813,                0.56577,                  1.425,                0.55692,                 1.6658,             0.00056105,             0.00056105,             0.00056105
                     52,                0.96015,                0.74339,                 1.2195,                0.92408,                0.99474,                0.98731,                0.56235,                 1.4138,                0.55622,                 1.7278,             0.00055006,             0.00055006,             0.00055006
                     53,                0.93024,                 0.7052,                 1.1885,                0.96119,                0.98038,                0.97779,                0.55021,                 1.4621,                0.57569,                 1.7857,             0.00053906,             0.00053906,             0.00053906
                     54,                 0.9114,                0.66066,                 1.1804,                0.94311,                0.95538,                0.96255,                0.56047,                 1.4309,                0.57925,                 1.7664,             0.00052806,             0.00052806,             0.00052806
                     55,                0.95122,                0.70737,                 1.1955,                0.96424,                0.94769,                0.96382,                0.55969,                 1.4508,                 0.5682,                 1.7229,             0.00051706,             0.00051706,             0.00051706
                     56,                0.91812,                0.70689,                 1.1852,                0.98027,                0.94802,                0.97924,                0.57865,                 1.3892,                0.55052,                 1.7076,             0.00050606,             0.00050606,             0.00050606
                     57,                0.93873,                0.67202,                 1.1922,                0.97292,                0.94866,                0.95988,                0.56282,                 1.3781,                0.55342,                 1.6688,             0.00049506,             0.00049506,             0.00049506
                     58,                0.91493,                0.65489,                 1.1781,                0.96718,                0.91316,                0.96397,                0.55723,                 1.4305,                0.56823,                 1.7118,             0.00048406,             0.00048406,             0.00048406
                     59,                0.89996,                0.66853,                 1.1606,                0.94157,                0.91522,                0.96522,                0.55446,                 1.4404,                0.58887,                 1.7745,             0.00047306,             0.00047306,             0.00047306
                     60,                 0.8899,                0.65713,                  1.178,                0.95852,                0.93473,                0.98004,                0.57012,                  1.404,                0.56406,                 1.7566,             0.00046206,             0.00046206,             0.00046206
                     61,                0.88186,                0.65483,                 1.1738,                0.97886,                0.94467,                0.98275,                0.57292,                 1.3944,                0.52765,                 1.7173,             0.00045107,             0.00045107,             0.00045107
                     62,                0.86684,                 0.6497,                 1.1519,                0.96949,                0.91449,                0.96592,                0.54305,                 1.4438,                0.58313,                 1.7698,             0.00044007,             0.00044007,             0.00044007
                     63,                0.90263,                0.68916,                 1.1718,                0.97195,                0.95176,                0.97004,                0.54038,                 1.4708,                0.56118,                 1.7987,             0.00042907,             0.00042907,             0.00042907
