                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2302,                  3.219,                 1.4385,                0.94036,                0.57962,                0.68544,                0.43909,                  1.163,                   2.14,                  1.521,                0.00024,                0.00024,                0.00024
                      2,                 1.1517,                 2.0046,                 1.3549,                0.84147,                0.85615,                0.97977,                 0.6017,                 1.2384,                 1.4404,                 1.5788,             0.00048515,             0.00048515,             0.00048515
                      3,                 1.1627,                 1.5532,                 1.3459,                0.97313,                0.97425,                0.98309,                0.56933,                 1.3334,                 1.2534,                 1.6542,             0.00072535,             0.00072535,             0.00072535
                      4,                 1.2091,                  1.498,                 1.3638,                0.97981,                0.94997,                0.97959,                0.59269,                 1.2732,                 1.2256,                 1.5893,              0.0009606,              0.0009606,              0.0009606
                      5,                 1.1555,                  1.348,                 1.3307,                0.91167,                0.92723,                0.93168,                0.52692,                   1.35,                 1.1261,                 1.7325,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1696,                 1.3351,                 1.3446,                0.95368,                0.94041,                0.97951,                0.55853,                 1.3388,                0.99229,                 1.6774,              0.0009505,              0.0009505,              0.0009505
                      7,                   1.16,                 1.2497,                 1.3277,                0.95322,                0.94392,                0.97121,                0.59061,                 1.3196,                0.96894,                 1.7003,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1473,                   1.22,                 1.3203,                0.94498,                0.92772,                0.95289,                 0.5601,                 1.3623,                0.94208,                 1.7074,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1681,                 1.1764,                 1.3339,                0.95397,                0.93988,                0.96088,                0.53933,                 1.4522,                0.88908,                 1.8059,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1091,                 1.1107,                 1.2857,                0.95951,                0.97689,                0.98017,                0.58091,                 1.3532,                0.86597,                 1.7353,              0.0009109,              0.0009109,              0.0009109
                     11,                  1.114,                 1.0233,                 1.2902,                0.96398,                0.94921,                 0.9679,                0.55622,                 1.3672,                0.87877,                 1.6623,               0.000901,               0.000901,               0.000901
                     12,                 1.1119,                0.99324,                 1.2838,                0.90127,                0.90555,                0.95559,                0.50928,                 1.4153,                 1.0435,                 1.6861,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1159,                0.98832,                 1.3011,                0.93421,                0.93643,                0.96703,                0.55439,                  1.365,                0.83198,                 1.6731,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1145,                 1.0164,                 1.2857,                0.94533,                 0.9586,                0.97723,                0.56495,                  1.358,                0.77471,                 1.7067,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0715,                0.99725,                 1.2745,                0.95702,                0.93489,                0.94534,                0.55624,                 1.3432,                0.79267,                 1.6896,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0695,                0.95484,                 1.2711,                0.96098,                 0.9585,                0.95852,                0.56633,                   1.36,                  0.761,                 1.7303,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0317,                0.90059,                 1.2319,                0.93393,                0.98339,                0.97927,                0.57917,                 1.3547,                0.70115,                  1.669,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0639,                 0.9694,                 1.2754,                0.97502,                0.94642,                 0.9705,                0.58065,                 1.3328,                0.67136,                  1.652,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0417,                0.87702,                 1.2479,                0.94989,                0.98807,                0.97512,                0.57175,                 1.3219,                0.64749,                 1.6197,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0559,                0.89161,                  1.255,                0.96181,                0.93176,                0.96062,                0.56625,                 1.3419,                0.68777,                 1.7281,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0197,                 0.8615,                 1.2398,                0.94236,                0.93675,                0.96601,                 0.5693,                 1.3271,                0.67788,                 1.6459,               0.000802,               0.000802,               0.000802
                     22,                 1.0329,                0.88757,                 1.2494,                0.91539,                0.89158,                 0.9463,                0.55505,                 1.3188,                0.74736,                 1.6505,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0228,                0.83323,                 1.2399,                0.96919,                0.96361,                0.95563,                0.56647,                 1.3274,                0.63812,                 1.6404,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0427,                0.85184,                 1.2599,                0.98555,                0.97582,                0.98801,                0.58676,                 1.3058,                0.57309,                 1.6091,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0114,                0.82541,                 1.2309,                 0.9076,                0.92806,                0.94985,                0.56399,                 1.2926,                 0.6936,                 1.6358,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0123,                0.83745,                 1.2372,                 0.9692,                0.95677,                0.96547,                0.56492,                  1.361,                0.61365,                 1.7247,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.9793,                0.80144,                 1.2221,                0.96206,                0.97286,                0.97717,                0.57922,                 1.3265,                0.61207,                 1.6653,              0.0007426,              0.0007426,              0.0007426
                     28,                0.98243,                0.77491,                 1.2194,                0.96577,                0.95102,                0.96948,                0.54136,                 1.3445,                0.64038,                 1.7403,              0.0007327,              0.0007327,              0.0007327
                     29,                0.98129,                0.75079,                 1.2091,                0.95603,                 0.9597,                0.98146,                  0.534,                 1.4392,                0.59181,                 1.8113,              0.0007228,              0.0007228,              0.0007228
                     30,                  0.984,                0.75632,                 1.2097,                0.95469,                0.92839,                0.96321,                0.55706,                 1.4136,                0.62535,                 1.8008,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0087,                0.76432,                 1.2333,                0.95156,                0.94011,                0.97116,                0.57483,                 1.3488,                0.61666,                 1.7903,               0.000703,               0.000703,               0.000703
                     32,                0.98838,                0.74804,                  1.214,                0.96685,                 0.9589,                0.98077,                0.54327,                 1.4491,                0.61533,                 1.7758,              0.0006931,              0.0006931,              0.0006931
                     33,                0.98274,                0.75838,                 1.2127,                  0.958,                 0.9621,                 0.9822,                0.58376,                  1.339,                0.56218,                 1.7154,              0.0006832,              0.0006832,              0.0006832
                     34,                0.94963,                0.74017,                 1.1972,                0.98079,                0.96307,                0.97057,                0.58075,                 1.3278,                 0.5424,                 1.7122,              0.0006733,              0.0006733,              0.0006733
                     35,                0.95725,                0.72804,                 1.2116,                0.97123,                0.96307,                0.96763,                0.55781,                  1.376,                0.57482,                 1.7434,              0.0006634,              0.0006634,              0.0006634
                     36,                0.94857,                0.70816,                  1.192,                0.96505,                 0.9573,                0.97313,                0.54217,                 1.3841,                0.54948,                 1.7017,              0.0006535,              0.0006535,              0.0006535
                     37,                0.93478,                0.69681,                  1.185,                0.96935,                0.98267,                0.97522,                0.56621,                 1.3431,                0.54522,                 1.7353,              0.0006436,              0.0006436,              0.0006436
                     38,                0.95685,                0.73236,                 1.2133,                0.96944,                0.96307,                0.97693,                0.56774,                 1.3543,                0.53335,                 1.7649,              0.0006337,              0.0006337,              0.0006337
                     39,                0.92338,                0.69179,                 1.1882,                0.96484,                0.96307,                0.96808,                0.55942,                 1.3716,                0.53696,                 1.7796,              0.0006238,              0.0006238,              0.0006238
                     40,                0.91151,                0.70514,                 1.1799,                0.97829,                0.94728,                0.95914,                0.55087,                 1.3695,                0.55294,                 1.7569,              0.0006139,              0.0006139,              0.0006139
                     41,                0.89196,                 0.6706,                 1.1646,                0.96579,                0.96307,                0.95109,                0.54416,                 1.3419,                0.52285,                 1.7371,               0.000604,               0.000604,               0.000604
                     42,                0.91113,                0.68565,                 1.1783,                 0.9492,                0.94073,                0.95816,                0.57295,                 1.3482,                0.53836,                 1.7398,              0.0005941,              0.0005941,              0.0005941
                     43,                0.89801,                0.65752,                 1.1697,                0.96267,                0.98807,                0.98203,                0.56871,                 1.3498,                0.50754,                 1.7299,              0.0005842,              0.0005842,              0.0005842
                     44,                0.92606,                0.68176,                 1.1854,                0.96562,                0.95131,                0.95493,                0.54655,                 1.3403,                0.55306,                 1.6831,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.9104,                0.65756,                 1.1724,                0.96475,                0.95277,                0.94933,                0.55281,                 1.3207,                0.52118,                 1.6327,              0.0005644,              0.0005644,              0.0005644
                     46,                0.89265,                0.65193,                  1.163,                0.95613,                 0.9564,                0.97015,                0.54983,                 1.3458,                 0.5234,                 1.7552,              0.0005545,              0.0005545,              0.0005545
                     47,                0.90089,                0.65435,                 1.1757,                 0.9826,                0.95718,                0.95878,                0.55281,                 1.3366,                0.50827,                 1.8235,              0.0005446,              0.0005446,              0.0005446
                     48,                0.87994,                0.63901,                  1.154,                0.96376,                0.95254,                0.97724,                0.56776,                 1.3137,                0.49927,                 1.7417,              0.0005347,              0.0005347,              0.0005347
                     49,                  0.868,                0.62087,                 1.1536,                0.97198,                0.96637,                0.97915,                 0.5512,                 1.3224,                0.49372,                 1.7303,              0.0005248,              0.0005248,              0.0005248
                     50,                0.91498,                0.66724,                 1.1894,                0.96264,                0.96453,                0.97967,                0.53921,                 1.3519,                0.50201,                 1.7339,              0.0005149,              0.0005149,              0.0005149
                     51,                0.88741,                 0.6144,                  1.159,                0.97128,                0.96307,                0.96811,                0.55733,                 1.3176,                0.51723,                 1.6938,               0.000505,               0.000505,               0.000505
                     52,                0.86688,                0.61696,                  1.141,                0.96652,                0.96307,                0.97102,                0.56642,                 1.3716,                0.50924,                  1.854,              0.0004951,              0.0004951,              0.0004951
                     53,                0.86955,                0.61137,                  1.158,                0.97084,                0.96105,                0.97983,                0.56253,                 1.3751,                0.48599,                 1.8484,              0.0004852,              0.0004852,              0.0004852
                     54,                0.84732,                0.59364,                 1.1368,                0.96986,                0.95515,                0.96457,                0.57963,                 1.2915,                0.49399,                 1.7454,              0.0004753,              0.0004753,              0.0004753
