                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0625,                0.78226,                 1.2645,                0.96666,                0.96131,                0.97347,                0.54062,                 1.4465,                0.54838,                 1.7611,             0.00036307,             0.00036307,             0.00036307
                      2,                 1.0301,                0.72212,                  1.237,                0.94898,                0.94798,                0.95835,                0.55498,                 1.3695,                0.55929,                 1.6924,             0.00072614,             0.00072614,             0.00072614
                      3,                 1.0268,                0.73943,                 1.2327,                0.92544,                0.92954,                0.94932,                0.49466,                  1.533,                0.61774,                 1.8617,              0.0010819,              0.0010819,              0.0010819
                      4,                 1.0352,                0.77347,                 1.2496,                0.94568,                 0.9297,                0.94984,                0.52657,                 1.4357,                0.58919,                 1.7728,               0.001078,               0.001078,               0.001078
                      5,                 1.0425,                0.76505,                 1.2394,                0.93923,                0.92503,                0.91757,                0.49871,                 1.4995,                0.58139,                 1.8171,               0.001067,               0.001067,               0.001067
                      6,                 1.0374,                 0.7667,                 1.2397,                0.92149,                 0.9223,                0.95171,                0.52644,                 1.4596,                0.66293,                   1.76,               0.001056,               0.001056,               0.001056
                      7,                 1.0207,                  0.767,                 1.2503,                0.95536,                0.94024,                0.96656,                0.53253,                 1.4851,                0.62119,                 1.8061,               0.001045,               0.001045,               0.001045
                      8,                 1.0562,                0.79099,                 1.2469,                0.95399,                0.88843,                0.94662,                0.51799,                 1.4882,                0.67674,                 1.7532,               0.001034,               0.001034,               0.001034
                      9,                0.99942,                0.72837,                  1.222,                0.95835,                0.96042,                0.96605,                0.52055,                 1.4927,                0.55964,                 1.8714,               0.001023,               0.001023,               0.001023
                     10,                0.98027,                0.72504,                 1.2221,                0.94681,                0.95614,                0.96086,                0.52938,                 1.4578,                0.58725,                 1.7492,               0.001012,               0.001012,               0.001012
                     11,                 1.0059,                0.71835,                 1.2203,                0.93635,                0.94581,                0.95891,                0.55223,                 1.4447,                0.55294,                 1.7806,               0.001001,               0.001001,               0.001001
                     12,                0.98872,                0.72777,                 1.2202,                0.95947,                0.93532,                0.95301,                0.53589,                 1.4585,                0.58577,                 1.7542,             0.00099001,             0.00099001,             0.00099001
                     13,                0.98861,                0.70545,                 1.2155,                0.93507,                0.92817,                0.95263,                0.51467,                 1.4739,                0.60202,                 1.8126,             0.00097901,             0.00097901,             0.00097901
                     14,                0.99051,                0.71585,                 1.2192,                0.94174,                0.94908,                0.95907,                0.52236,                 1.4612,                0.56434,                 1.8214,             0.00096801,             0.00096801,             0.00096801
                     15,                0.97992,                0.70431,                 1.2038,                0.94279,                0.94374,                0.96269,                0.54961,                 1.4447,                0.59808,                 1.8105,             0.00095702,             0.00095702,             0.00095702
                     16,                0.98973,                0.72808,                 1.2368,                 0.9443,                0.93302,                0.95081,                0.53859,                 1.4109,                0.57456,                 1.7524,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0028,                0.70413,                 1.2176,                 0.9276,                0.90827,                 0.9102,                0.47501,                 1.5885,                0.59027,                 1.9705,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0058,                0.71664,                 1.2228,                0.95024,                 0.9427,                0.94549,                0.53532,                 1.4492,                0.57089,                 1.8195,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0062,                0.69996,                 1.2132,                0.98269,                0.95246,                0.97233,                0.53999,                 1.4581,                0.54694,                 1.8418,             0.00091302,             0.00091302,             0.00091302
                     20,                0.99646,                0.71252,                 1.2231,                0.95716,                0.93987,                0.96675,                 0.5195,                 1.5013,                0.59023,                 1.8864,             0.00090202,             0.00090202,             0.00090202
                     21,                0.96166,                0.71216,                 1.1945,                0.96166,                0.95487,                0.97152,                0.53803,                  1.464,                0.54247,                 1.8329,             0.00089102,             0.00089102,             0.00089102
                     22,                0.94458,                 0.6574,                 1.1948,                0.95734,                0.95623,                0.96118,                0.52862,                 1.4663,                 0.5437,                 1.8271,             0.00088002,             0.00088002,             0.00088002
                     23,                0.97543,                0.67926,                 1.2141,                0.95067,                0.94018,                0.95557,                0.52861,                 1.4431,                0.54496,                 1.8061,             0.00086902,             0.00086902,             0.00086902
                     24,                0.93059,                0.66512,                 1.1827,                0.96958,                0.96311,                 0.9679,                0.53942,                 1.4368,                0.51265,                 1.7943,             0.00085803,             0.00085803,             0.00085803
                     25,                0.92776,                0.65175,                 1.1737,                0.95882,                0.95688,                0.95573,                0.51395,                 1.5263,                0.54193,                 1.9628,             0.00084703,             0.00084703,             0.00084703
                     26,                0.95616,                0.66267,                 1.1991,                0.97506,                0.95425,                0.98463,                0.57367,                 1.3905,                0.53375,                 1.7347,             0.00083603,             0.00083603,             0.00083603
                     27,                0.93297,                0.64927,                 1.1744,                0.94361,                 0.9501,                0.95766,                 0.5174,                 1.5169,                0.56418,                 1.9083,             0.00082503,             0.00082503,             0.00082503
                     28,                0.90341,                0.65757,                 1.1714,                0.95391,                0.93688,                 0.9451,                0.52982,                 1.4578,                0.53376,                 1.8631,             0.00081403,             0.00081403,             0.00081403
                     29,                0.90538,                0.64277,                 1.1591,                0.96497,                0.97716,                0.97449,                0.51669,                  1.556,                0.53871,                 2.0244,             0.00080303,             0.00080303,             0.00080303
                     30,                0.89667,                0.62885,                 1.1687,                0.97107,                0.95457,                0.95804,                0.53841,                 1.4345,                0.50809,                 1.8387,             0.00079203,             0.00079203,             0.00079203
                     31,                0.89944,                0.62063,                 1.1641,                0.96813,                0.95465,                0.97235,                 0.5561,                 1.4468,                0.52336,                 1.8293,             0.00078103,             0.00078103,             0.00078103
                     32,                0.88719,                0.61785,                 1.1505,                0.96037,                0.96378,                0.96975,                0.53658,                 1.4568,                0.54426,                 1.8376,             0.00077003,             0.00077003,             0.00077003
                     33,                0.88749,                0.65297,                 1.1692,                0.95686,                0.97143,                0.97906,                 0.5358,                   1.46,                0.53534,                 1.8968,             0.00075904,             0.00075904,             0.00075904
                     34,                0.86706,                0.62603,                 1.1452,                 0.9592,                0.96123,                0.96274,                0.53484,                 1.4356,                0.51426,                   1.87,             0.00074804,             0.00074804,             0.00074804
                     35,                0.88885,                0.66345,                 1.1691,                0.95195,                0.97313,                0.96901,                0.52528,                 1.5131,                0.53206,                 1.9708,             0.00073704,             0.00073704,             0.00073704
                     36,                0.88192,                0.61925,                 1.1568,                0.95909,                0.95563,                0.96319,                0.53333,                 1.4405,                0.54526,                 1.8745,             0.00072604,             0.00072604,             0.00072604
                     37,                0.87444,                0.63106,                 1.1531,                 0.9421,                0.93768,                0.94707,                 0.5098,                 1.5718,                0.57805,                 2.0124,             0.00071504,             0.00071504,             0.00071504
                     38,                 0.8519,                 0.5995,                 1.1255,                0.96633,                0.93692,                0.96001,                0.52544,                 1.4933,                0.54377,                 1.9263,             0.00070404,             0.00070404,             0.00070404
                     39,                0.85979,                0.60623,                 1.1483,                0.96601,                0.95898,                0.96225,                0.54002,                 1.4603,                0.52903,                 1.9111,             0.00069304,             0.00069304,             0.00069304
